serverid,name,region,regionnumber,groupname,players,avglevel,maxlevel,totalpower,totalrss,incwins,incloss,incratio,strength,created,lastmodified,created_dt,creation_year,server_age_years,total_incursions,incursion_win_rate,power_per_player
32,Pa'Nar,US,3,US-2,2718,47.61,74,2075863735898,545598800993085100,23,11,67.6471,0,2019-07-14T00:00:00,2026-05-29T01:33:05Z,2019-07-14,2019,7,34,67.64705882352942,763746775.5327446
33,Omega,US,3,US-1,2481,47.77,75,1965416845455,502141168563992500,29,6,82.8571,0,2019-07-10T00:00:00,2026-05-29T01:33:05Z,2019-07-10,2019,7,35,82.85714285714286,792187362.1342201
51,Ba'Ul,US,3,US-1,2359,48.8,75,1841806094894,329041555424496500,11,24,31.4286,0,2020-08-31T00:00:00,2026-05-29T01:33:05Z,2020-08-31,2020,6,35,31.428571428571427,780757140.6926664
56,Targ,US,3,US-3,2721,46.14,74,1806653466885,372418110358832400,23,11,67.6471,0,2020-12-24T00:00:00,2026-05-29T01:33:05Z,2020-12-24,2020,6,34,67.64705882352942,663966727.9988974
30,Nexus,US,3,US-3,2370,47.24,74,1702266279613,503731871633696450,14,21,40.0,0,2019-05-24T00:00:00,2026-05-29T01:33:05Z,2019-05-24,2019,7,35,40.0,718255814.1827004
45,Transwarp,US,3,US-3,1991,47.55,75,1554578946645,423309431445165700,27,8,77.1429,0,2020-05-28T00:00:00,2026-05-29T01:33:05Z,2020-05-28,2020,6,35,77.14285714285715,780803087.2149674
31,Chon'Naq,US,3,US-2,2348,45.44,74,1507652468094,270392241296702530,11,24,31.4286,0,2019-07-05T00:00:00,2026-05-29T01:33:05Z,2019-07-05,2019,7,35,31.428571428571427,642100710.4318569
20,Ponfarr,US,3,US-3,2224,46.29,74,1481585595386,270325397409479500,12,24,33.3333,0,2018-11-30T00:00:00,2026-05-29T01:33:05Z,2018-11-30,2018,8,36,33.33333333333333,666180573.464928
26,The Hive,US,3,US-2,2284,45.86,75,1461821636584,368498218719936200,14,21,40.0,0,2018-12-02T00:00:00,2026-05-29T01:33:05Z,2018-12-02,2018,8,35,40.0,640026986.245184
41,Zefram,US,3,US-1,2212,43.77,75,1435800757333,282042625100439140,12,23,34.2857,0,2020-03-13T00:00:00,2026-05-29T01:33:05Z,2020-03-13,2020,6,35,34.285714285714285,649096183.2427667
42,Saturn,US,3,US-1,1896,47.19,74,1402651818128,300376886401917700,17,18,48.5714,0,2020-04-22T00:00:00,2026-05-29T01:33:05Z,2020-04-22,2020,6,35,48.57142857142857,739795262.7257384
10,Fortunate,US,3,US-2,2024,46.22,73,1349206086471,456783028671752000,22,13,62.8571,0,2018-11-23T00:00:00,2026-05-29T01:33:05Z,2018-11-23,2018,8,35,62.857142857142854,666603797.6635375
86,Fenris,US,3,US-3,2303,43.36,75,1339927529503,394636834316422460,20,13,60.6061,0,2022-06-02T00:00:00,2026-05-29T01:33:05Z,2022-06-02,2022,4,33,60.60606060606061,581818293.3143725
34,Yeager,US,3,US-1,2060,46.86,75,1330194865856,321652842777398660,17,18,48.5714,0,2019-07-20T00:00:00,2026-05-29T01:33:05Z,2019-07-20,2019,7,35,48.57142857142857,645725663.0368932
15,Progenitor,US,3,US-3,1957,45.83,74,1321730214677,297343474519659100,26,10,72.2222,0,2018-11-30T00:00:00,2026-05-29T01:33:05Z,2018-11-30,2018,8,36,72.22222222222221,675385904.2805314
27,Potemkin,US,3,US-3,1924,46.57,74,1317534425756,204414971868443000,16,19,45.7143,0,2018-12-03T00:00:00,2026-05-29T01:33:05Z,2018-12-03,2018,8,35,45.714285714285715,684789202.5758836
29,Dunsel,US,3,US-1,2151,46.17,74,1234768694388,317432908917322240,18,17,51.4286,0,2019-01-18T00:00:00,2026-05-29T01:33:05Z,2019-01-18,2019,7,35,51.42857142857142,574044023.4253836
72,Moonlight,US,3,US-2,1960,45.21,73,1229236320967,322603658815315840,23,12,65.7143,0,2021-08-19T00:00:00,2026-05-29T01:33:05Z,2021-08-19,2021,5,35,65.71428571428571,627161388.2484694
8,Saladin,US,3,US-1,2115,40.88,75,1225863375677,157289738649464640,15,20,42.8571,0,2018-11-03T00:00:00,2026-05-29T01:33:05Z,2018-11-03,2018,8,35,42.857142857142854,579604432.944208
17,Jefferies,US,3,US-1,1981,45.72,75,1220936554108,209773788202497020,23,12,65.7143,0,2018-11-30T00:00:00,2026-05-29T01:33:05Z,2018-11-30,2018,8,35,65.71428571428571,616323348.8682483
13,Jellyfish,US,3,US-2,2296,42.95,74,1220461134436,183064907972104000,6,29,17.1429,0,2018-11-29T00:00:00,2026-05-29T01:33:05Z,2018-11-29,2018,8,35,17.142857142857142,531559727.5418118
53,Nomad,US,3,US-2,1685,42.81,74,1207301171565,212985943568617900,16,18,47.0588,0,2020-10-03T00:00:00,2026-05-29T01:33:05Z,2020-10-03,2020,6,34,47.05882352941176,716499211.6112759
95,Charon,US,3,US-1,1977,40.6,75,1165716810501,424713713629479230,18,8,69.2308,0,2023-02-04T00:00:00,2026-05-29T01:33:05Z,2023-02-04,2023,3,26,69.23076923076923,589639256.7025796
16,Baryon,US,3,US-1,1929,42.53,74,1160661284234,237434732503945570,26,9,74.2857,0,2018-11-29T00:00:00,2026-05-29T01:33:05Z,2018-11-29,2018,8,35,74.28571428571429,601690660.5671332
84,Hyralan,US,3,US-2,1902,44.13,74,1136021801551,258498006115119140,18,16,52.9412,0,2022-02-13T00:00:00,2026-05-29T01:33:05Z,2022-02-13,2022,4,34,52.94117647058824,597277498.1866456
67,Tyrus,US,3,US-2,1871,41.99,73,1133076053505,219974077554052740,9,26,25.7143,0,2021-06-18T00:00:00,2026-05-29T01:33:05Z,2021-06-18,2021,5,35,25.71428571428571,605599173.4393373
24,Genesis,US,3,US-3,1883,45.39,74,1126319502813,190065739683340000,18,17,51.4286,0,2018-12-01T00:00:00,2026-05-29T01:33:05Z,2018-12-01,2018,8,35,51.42857142857142,598151621.2496017
21,Vermicula,US,3,US-3,1966,41.72,74,1114955164885,273595795665449800,19,16,54.2857,0,2018-11-30T00:00:00,2026-05-29T01:33:05Z,2018-11-30,2018,8,35,54.285714285714285,567118598.6190234
49,Kendra,US,3,US-3,1693,42.3,75,1104579801327,270913011850108400,17,17,50.0,0,2020-07-31T00:00:00,2026-05-29T01:33:05Z,2020-07-31,2020,6,34,50.0,652439339.236267
61,Cardassia,US,3,US-3,1658,41.01,75,1065305554100,219463124793279550,14,21,40.0,0,2021-03-03T00:00:00,2026-05-29T01:33:05Z,2021-03-03,2021,5,35,40.0,642524459.6501809
11,Kobayashi,US,3,US-2,2108,41.83,74,1061434264464,116667416220472980,14,21,40.0,0,2018-11-29T00:00:00,2026-05-29T01:33:05Z,2018-11-29,2018,8,35,40.0,503526690.92220116
36,Tachyon,US,3,US-3,1614,41.15,74,1052456484402,184183404917270530,21,14,60.0,0,2019-12-10T00:00:00,2026-05-29T01:33:05Z,2019-12-10,2019,7,35,60.0,652079606.197026
14,Remus,US,3,US-3,2102,41.5,74,1040639710552,277345386496782880,10,25,28.5714,0,2018-11-29T00:00:00,2026-05-29T01:33:05Z,2018-11-29,2018,8,35,28.57142857142857,495071222.9077069
91,Epsilon,US,3,US-2,1917,36.6,74,1014764042425,369498141228051600,26,4,86.6667,0,2022-09-01T00:00:00,2026-05-29T01:33:05Z,2022-09-01,2022,4,30,86.66666666666667,529350048.2133542
99,Bounty,US,3,US-2,2355,36.45,74,1006968608728,186312549521103230,15,7,68.1818,0,2023-06-02T00:00:00,2026-05-29T01:33:05Z,2023-06-02,2023,3,22,68.18181818181817,427587519.62972397
57,Binar,US,3,US-1,1672,40.28,75,1005669621580,254911409471350720,16,19,45.7143,0,2020-12-27T00:00:00,2026-05-29T01:33:05Z,2020-12-27,2020,6,35,45.714285714285715,601477046.3995216
38,Vaaran,US,3,US-1,1705,41.1,74,979068479300,234846984153743420,21,14,60.0,0,2020-01-28T00:00:00,2026-05-29T01:33:05Z,2020-01-28,2020,6,35,60.0,574233712.1994135
74,Krayton,US,3,US-3,1720,40.84,74,954666475561,263995332918158400,21,13,61.7647,0,2021-12-02T00:00:00,2026-05-29T01:33:05Z,2021-12-02,2021,5,34,61.76470588235294,555038648.5819768
98,Vinculum,US,3,US-1,2106,38.88,74,949944078139,319657972765571700,11,14,44.0,0,2023-04-01T00:00:00,2026-05-29T01:33:05Z,2023-04-01,2023,3,25,44.0,451065564.168566
44,Tsunkatse,US,3,US-3,1523,41.68,74,949825472792,178903799638920860,14,21,40.0,0,2020-05-27T00:00:00,2026-05-29T01:33:05Z,2020-05-27,2020,6,35,40.0,623654282.8575181
702,Dominion,US,3,US-3,3674,31.56,74,945139716596,295315557112479360,8,11,42.1053,0,2023-12-08T00:00:00,2026-05-29T01:33:05Z,2023-12-08,2023,3,19,42.10526315789473,257250875.50244963
63,Tomalak,US,3,US-2,1730,41.04,74,922206817447,332492563625740100,17,18,48.5714,0,2021-04-21T00:00:00,2026-05-29T01:33:05Z,2021-04-21,2021,5,35,48.57142857142857,533067524.5358381
